project,rule_id,location,line,context,in_test_path,classification,justification
ansible,pqc-scan.source.rsa.ssh-rsa,test/units/modules/test_known_hosts.py,77,'one.example.com ssh-rsa AAAAetc\n',yes,true-positive-test-only-mostly,"ssh-rsa string in test playbooks/inventories; predominantly test paths, some legitimate runtime ssh code"
ansible,pqc-scan.source.rsa.ssh-rsa,test/units/modules/test_known_hosts.py,78,'two.example.com ssh-rsa BBBBetc\n',yes,true-positive-test-only-mostly,"ssh-rsa string in test playbooks/inventories; predominantly test paths, some legitimate runtime ssh code"
ansible,pqc-scan.source.rsa.ssh-rsa,test/units/modules/test_known_hosts.py,80,key = 'one.example.com ssh-rsa AAAAetc\n',yes,true-positive-test-only-mostly,"ssh-rsa string in test playbooks/inventories; predominantly test paths, some legitimate runtime ssh code"
ansible,pqc-scan.source.rsa.ssh-rsa,test/units/modules/test_known_hosts.py,85,"'before': 'one.example.com ssh-rsa AAAAetc\ntwo.example.com ssh-rsa BBBBetc\n',",yes,true-positive-test-only-mostly,"ssh-rsa string in test playbooks/inventories; predominantly test paths, some legitimate runtime ssh code"
ansible,pqc-scan.source.rsa.ssh-rsa,test/units/modules/test_known_hosts.py,85,"'before': 'one.example.com ssh-rsa AAAAetc\ntwo.example.com ssh-rsa BBBBetc\n',",yes,true-positive-test-only-mostly,"ssh-rsa string in test playbooks/inventories; predominantly test paths, some legitimate runtime ssh code"
ansible,pqc-scan.source.rsa.ssh-rsa,test/units/modules/test_known_hosts.py,86,"'after': 'two.example.com ssh-rsa BBBBetc\n',",yes,true-positive-test-only-mostly,"ssh-rsa string in test playbooks/inventories; predominantly test paths, some legitimate runtime ssh code"
ansible,pqc-scan.source.rsa.ssh-rsa,test/units/modules/test_known_hosts.py,91,'two.example.com ssh-rsa BBBBetc\n',yes,true-positive-test-only-mostly,"ssh-rsa string in test playbooks/inventories; predominantly test paths, some legitimate runtime ssh code"
ansible,pqc-scan.source.rsa.ssh-rsa,test/units/modules/test_known_hosts.py,93,key = 'one.example.com ssh-rsa AAAAetc\n',yes,true-positive-test-only-mostly,"ssh-rsa string in test playbooks/inventories; predominantly test paths, some legitimate runtime ssh code"
ansible,pqc-scan.source.rsa.ssh-rsa,test/units/modules/test_known_hosts.py,98,"'before': 'two.example.com ssh-rsa BBBBetc\n',",yes,true-positive-test-only-mostly,"ssh-rsa string in test playbooks/inventories; predominantly test paths, some legitimate runtime ssh code"
ansible,pqc-scan.source.rsa.ssh-rsa,test/units/modules/test_known_hosts.py,99,"'after': 'two.example.com ssh-rsa BBBBetc\n',",yes,true-positive-test-only-mostly,"ssh-rsa string in test playbooks/inventories; predominantly test paths, some legitimate runtime ssh code"
ansible,pqc-scan.source.rsa.ssh-rsa,test/units/modules/test_known_hosts.py,107,"key = '%s ssh-rsa ASDF foo@bar' % (host,)",yes,true-positive-test-only-mostly,"ssh-rsa string in test playbooks/inventories; predominantly test paths, some legitimate runtime ssh code"
ansible,pqc-scan.source.aes128.bare-name,test/integration/targets/get_url/tasks/ciphers.yml,4,ciphers: ECDHE-RSA-AES128-SHA256,yes,true-positive-mixed,AES-128 mentions in cipher-test fixtures and some runtime cipher selection
ansible,pqc-scan.source.aes128.bare-name,test/integration/targets/get_url/tasks/ciphers.yml,11,ciphers: ECDHE-ECDSA-AES128-SHA,yes,true-positive-mixed,AES-128 mentions in cipher-test fixtures and some runtime cipher selection
ansible,pqc-scan.source.aes128.bare-name,test/integration/targets/lookup_url/tasks/main.yml,37,ansible_lookup_url_ciphers: ECDHE-RSA-AES128-SHA256,yes,true-positive-mixed,AES-128 mentions in cipher-test fixtures and some runtime cipher selection
ansible,pqc-scan.source.aes128.bare-name,test/integration/targets/lookup_url/tasks/main.yml,44,ansible_lookup_url_ciphers: ECDHE-ECDSA-AES128-SHA,yes,true-positive-mixed,AES-128 mentions in cipher-test fixtures and some runtime cipher selection
ansible,pqc-scan.source.aes128.bare-name,test/integration/targets/uri/tasks/ciphers.yml,4,ciphers: ECDHE-RSA-AES128-SHA256,yes,true-positive-mixed,AES-128 mentions in cipher-test fixtures and some runtime cipher selection
ansible,pqc-scan.source.aes128.bare-name,test/integration/targets/uri/tasks/ciphers.yml,10,ciphers: ECDHE-RSA-AES128-SHA256,yes,true-positive-mixed,AES-128 mentions in cipher-test fixtures and some runtime cipher selection
ansible,pqc-scan.source.aes128.bare-name,test/integration/targets/uri/tasks/ciphers.yml,16,ciphers: ECDHE-ECDSA-AES128-SHA,yes,true-positive-mixed,AES-128 mentions in cipher-test fixtures and some runtime cipher selection
ansible,pqc-scan.source.aes128.bare-name,test/integration/targets/uri/tasks/ciphers.yml,23,ciphers: ECDHE-ECDSA-AES128-SHA,yes,true-positive-mixed,AES-128 mentions in cipher-test fixtures and some runtime cipher selection
ansible,pqc-scan.source.aes128.bare-name,test/units/module_utils/urls/test_Request.py,55,"ciphers=['ECDHE-RSA-AES128-SHA256'],",yes,true-positive-mixed,AES-128 mentions in cipher-test fixtures and some runtime cipher selection
ansible,pqc-scan.source.aes128.bare-name,test/units/module_utils/urls/test_Request.py,79,"call(None, ['ECDHE-RSA-AES128-SHA256']),  # ciphers",yes,true-positive-mixed,AES-128 mentions in cipher-test fixtures and some runtime cipher selection
